Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email,modification,Organization Name,commit_datetime,commit_date
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
acus.gov,Federal - Executive,Administrative Conference of the United States,,Washington,DC,info@acus.gov,changed_new,Administrative Conference of the United States,2024-01-30 22:46:26+00:00,1706654786
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,,Washington,DC,domainsecurity@achp.gov,changed_new,Advisory Council on Historic Preservation,2024-01-30 22:46:26+00:00,1706654786
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,,Washington,DC,domainsecurity@achp.gov,changed_new,Advisory Council on Historic Preservation,2024-01-30 22:46:26+00:00,1706654786
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
abmc.gov,Federal - Executive,American Battle Monuments Commission,,Arlington,VA,itsec@abmc.gov,changed_new,American Battle Monuments Commission,2024-01-30 22:46:26+00:00,1706654786
amtrakoig.gov,Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
amtrakoig.gov,Federal - Executive,AMTRAK,,Washington,DC,(blank),changed_new,Office of Inspector General,2024-01-30 22:46:26+00:00,1706654786
arc.gov,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
arc.gov,Federal - Executive,Appalachian Regional Commission,,Washington,DC,(blank),changed_new,Appalachian Regional Commission,2024-01-30 22:46:26+00:00,1706654786
asc.gov,Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
asc.gov,Federal - Executive,Appraisal Subcommittee,,Washington,DC,(blank),changed_new,Appraisal Subcommittee,2024-01-30 22:46:26+00:00,1706654786
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
afrh.gov,Federal - Executive,Armed Forces Retirement Home,,Washington,DC,Stanley.Whitehead@afrh.gov,changed_new,Armed Forces Retirement Home,2024-01-30 22:46:26+00:00,1706654786
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,changed_old,,2024-01-30 22:46:26+00:00,1706654786
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,changed_new,Barry Goldwater Scholarship and Excellence in Education Foundation,2024-01-30 22:46:26+00:00,1706654786
cia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
cia.gov,Federal - Executive,Central Intelligence Agency,,Washington,DC,(blank),changed_new,Central Intelligence Agency,2024-01-30 22:46:26+00:00,1706654786
ic.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
ic.gov,Federal - Executive,Central Intelligence Agency,,Washington,DC,(blank),changed_new,Central Intelligence Agency,2024-01-30 22:46:26+00:00,1706654786
istac.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),changed_old,,2024-01-30 22:46:26+00:00,1706654786
