Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
amtrakoig.gov,Federal - Executive,AMTRAK,Office of Inspector General,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
arc.gov,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
asc.gov,Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
cia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
ic.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
istac.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
odci.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
opensource.gov,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
osde.gov,Federal - Executive,Central Intelligence Agency,CIA\GCS OSEG,Reston,VA,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
ucia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,Washington,DC,(blank),deleted,2024-03-06 06:12:39+00:00,1709705559
csb.gov,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
safetyvideos.gov,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,Washington,DC,gsa-vulnerability-reports@gsa.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
cftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,esoc@cftc.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,deleted,2024-03-06 06:12:39+00:00,1709705559
