Domain Name,Domain Type,Organization Name,Suborganization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
digitaldashboard.gov,Federal - Executive,General Services Administration,Office of GSA IT,DC,DC,gsa-vulnerability-reports@gsa.gov,deleted,2026-07-10 09:40:40+00:00,1783676440
dol-esa.gov,Federal - Executive,Department of Labor,,Washington,DC,m-DOLCSIRC@dol.gov,deleted,2026-07-10 09:40:40+00:00,1783676440
biomassboard.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV,changed_old,2026-07-10 09:40:40+00:00,1783676440
biomassboard.gov,Federal - Executive,Department of Energy,Office of Critical Minerals and Energy Innovation,Washington,DC,CIRC@JC3.DOE.GOV,changed_new,2026-07-10 09:40:40+00:00,1783676440
energysaver.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV,changed_old,2026-07-10 09:40:40+00:00,1783676440
energysaver.gov,Federal - Executive,Department of Energy,Office of Critical Minerals and Energy Innovation,Washington,DC,CIRC@JC3.DOE.GOV,changed_new,2026-07-10 09:40:40+00:00,1783676440
energysavers.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV,changed_old,2026-07-10 09:40:40+00:00,1783676440
energysavers.gov,Federal - Executive,Department of Energy,Office of Critical Minerals and Energy Innovation,Washington,DC,CIRC@JC3.DOE.GOV,changed_new,2026-07-10 09:40:40+00:00,1783676440
homeenergyscore.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,DL-EEREActioNetWebTeam@ee.doe.gov,changed_old,2026-07-10 09:40:40+00:00,1783676440
homeenergyscore.gov,Federal - Executive,Department of Energy,Office of Critical Minerals and Energy Innovation,Washington,DC,DL-EEREActioNetWebTeam@ee.doe.gov,changed_new,2026-07-10 09:40:40+00:00,1783676440
solardecathlon.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV,changed_old,2026-07-10 09:40:40+00:00,1783676440
solardecathlon.gov,Federal - Executive,Department of Energy,Office of Critical Minerals and Energy Innovation,Washington,DC,CIRC@JC3.DOE.GOV,changed_new,2026-07-10 09:40:40+00:00,1783676440
